,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Website,Link
0,J.P. Morgan,, 1799,"New York, NY", Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (JPM) ,www.jpmorgan.com,"https://www.glassdoor.com/Overview/Working-at-J-P-Morgan-EI_IE145.11,21.htm"
1,IBM,, 1911,"Armonk, NY", IT Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (IBM) ,www.ibm.com,"https://www.glassdoor.com/Overview/Working-at-IBM-EI_IE354.11,14.htm"
2,Citi,, 1812,"New York, NY", Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (C) ,www.citigroup.com,https://www.glassdoor.com/citi
3,Macy's,, 1858,"Cincinnati, OH"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (M) ,www.macysjobs.com ,"https://www.glassdoor.com/Overview/Working-at-Macy-s-EI_IE1079.11,17.htm"
4,Verizon,, 2000,"New York, NY", Telecommunications Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (VZ) ,www.verizon.jobs,"https://www.glassdoor.com/Overview/Working-at-Verizon-EI_IE89.11,18.htm"
5,Morgan Stanley,, 1935,"New York, NY", Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MS) ,www.morganstanley.com,"https://www.glassdoor.com/Overview/Working-at-Morgan-Stanley-EI_IE2282.11,25.htm"
6,Goldman Sachs,, 1869,"New York, NY", Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (GS) ,www.goldmansachs.com,"https://www.glassdoor.com/Overview/Working-at-Goldman-Sachs-EI_IE2800.11,24.htm"
7,PwC,, 1998,"New York, NY", Accounting,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Private,www.pwc.com,"https://www.glassdoor.com/Overview/Working-at-PwC-EI_IE8450.11,14.htm"
8,EY,, 1989,"London, England (UK)", Accounting,,, $10+ billion (USD) per year,10000+ employees, Company - Private,www.ey.com,"https://www.glassdoor.com/Overview/Working-at-EY-EI_IE2784.11,13.htm"
9,Deloitte,, 1850,"New York, NY", Accounting,,, $10+ billion (USD) per year,10000+ employees, Company - Private,www.deloitte.com,"https://www.glassdoor.com/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm"
