,Unnamed: 0,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Area
0,0,J.P. Morgan,, 1799,"New York, NY",Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (JPM) ,Finance
1,1,IBM,, 1911,"Armonk, NY",IT Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (IBM) ,Technology
2,2,Citi,, 1812,"New York, NY",Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (C) ,Finance
3,3,Macy's,, 1858,"Cincinnati, OH","Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (M) ,Fashion/Retail
4,4,Verizon,, 2000,"New York, NY",Telecommunications Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (VZ) ,Technology
5,5,Morgan Stanley,, 1935,"New York, NY",Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MS) ,Finance
6,6,Goldman Sachs,, 1869,"New York, NY",Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (GS) ,Finance
7,7,PwC,, 1998,"New York, NY",Accounting,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Private,Finance
8,8,EY,, 1989,"London, England (UK)",Accounting,,, $10+ billion (USD) per year,10000+ employees, Company - Private,Finance
9,9,Deloitte,, 1850,"New York, NY",Accounting,,, $10+ billion (USD) per year,10000+ employees, Company - Private,Finance
10,10,Cognizant Technology Solutions," Tata Consultancy Services, Accenture, Capgemini", 1994,"Teaneck, NJ",Unknown,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CTSH) ,Goods & Svcs
11,11,Bloomberg L.P.,, 1981,"New York, NY",Computer Hardware & Software,,, Unknown / Non-Applicable,10000+ employees, Company - Private,Technology
12,12,Bank of America,, 1904,"Charlotte, NC",Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BAC) ,Finance
13,13,American Express,, 1850,"New York, NY",Financial Transaction Processing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AXP) ,Finance
14,14,Columbia University, Unknown, 1938,"New York, NY",Colleges & Universities,,, $2 to $5 billion (USD) per year,10000+ employees, College / University,Education
15,15,AIG,, 1919,"New York, NY",Insurance Carriers,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AIG) ,Finance
16,16,New York City Department of Education, Unknown, 1970,"New York, NY",Municipal Governments,,, $10+ billion (USD) per year,10000+ employees, Government,Govnt/Utilities
17,17,NYU (New York University), Unknown, 1831,"New York, NY",Colleges & Universities,,, $5 to $10 billion (USD) per year,10000+ employees, College / University,Education
18,18,KPMG," PwC, Deloitte, EY", 1987,"New York, NY",Accounting,,, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Finance
19,19,Viacom,, 1971,"New York, NY",Motion Picture Production & Distribution,,, $10+ billion (USD) per year,5001 to 10000 employees, Company - Public (VIA) ,Entertainment
20,20,Rutgers University, Unknown, 1766,"Piscataway, NJ",Colleges & Universities,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, College / University,Education
21,21,Johnson & Johnson,, 1887,"New Brunswick, NJ",Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (JNJ) ,Health
22,22,UBS,, 1862,Zürich (Switzerland),Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UBS) ,Finance
23,23,Target,, 1962,"Minneapolis, MN",General Merchandise & Superstores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TGT) ,Goods & Svcs
24,24,Credit Suisse,, 1856,Zürich (Switzerland),Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CS) ,Finance
25,25,Thomson Reuters,, 2008,"Toronto, ON (Canada)",Enterprise Software & Network Solutions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TRI) ,Technology
26,26,Starbucks," Dunkin' Brands, McDonald's", 1971,"Seattle, WA",Fast-Food & Quick-Service Restaurants,,, $10+ billion (USD) per year,10000+ employees, Company - Public (SBUX) ,Goods & Svcs
27,27,Barclays,, 1690,"London, England (UK)",Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BARC) ,Finance
28,28,AT&T,, 1983,"Dallas, TX",Telecommunications Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (T) ,Technology
29,29,BNY Mellon,, 1784,"New York, NY",Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BK) ,Finance
30,30,The Home Depot,, 1978,"Atlanta, GA",nan,,, $10+ billion (USD) per year,10000+ employees, Company - Public (HD) ,Goods & Svcs
31,31,Mount Sinai Health System, Unknown, 2013,"New York, NY",Health Care Services & Hospitals,,, $1 to $2 billion (USD) per year,10000+ employees, Hospital,Health
32,32,CVS Health,, 1963,"Woonsocket, RI",Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CVS) ,Health
33,33,Deutsche Bank,, 1870,Frankfurt am Main (Germany),Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (DB) ,Finance
34,34,Apple," Google, Microsoft, Samsung Electronics", 1976,"Cupertino, CA",Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AAPL) ,Technology
35,35,Accenture,, 1989,"Dublin, Co. Dublin (Ireland)",Consulting,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ACN) ,Goods & Svcs
36,36,NBCUniversal, Unknown, 1906,"New York, NY",TV Broadcast & Cable Networks,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CMCSA) ,Entertainment
37,37,Northwell Health,, 1997,"Lake Success, NY",Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Nonprofit Organization,Health
38,38,NewYork-Presbyterian Hospital,, 1998,"New York, NY",Health Care Services & Hospitals,,, Unknown / Non-Applicable,10000+ employees, Hospital,Health
39,39,Memorial Sloan Kettering,, 1884,"New York, NY",Health Care Services & Hospitals,,, $2 to $5 billion (USD) per year,10000+ employees, Nonprofit Organization,Health
40,40,UPS,, 1907,"Atlanta, GA",Logistics & Supply Chain,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UPS) ,Finance
41,41,Best Buy,, 1966,"Richfield, MN",Consumer Electronics & Appliances Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BBY) ,Goods & Svcs
42,42,Prudential," AIG, MetLife, Fidelity Investments", 1875,"Newark, NJ",Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (PRU) ,Finance
43,43,NYU Langone Health,, 1841,"New York, NY",Health Care Services & Hospitals,,, $5 to $10 billion (USD) per year,10000+ employees, Hospital,Health
44,44,ADP,, 1949,"Roseland, NJ",Consulting,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ADP) ,Goods & Svcs
45,45,Bloomingdale's,, 1861,"New York, NY","Department, Clothing, & Shoe Stores",,Macy's, $1 to $2 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Fashion/Retail
46,46,Pfizer,, 1849,"New York, NY",Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (PFE) ,Health
47,47,New York Life,, 1845,"New York, NY",Insurance Agencies & Brokerages,,, $10+ billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
48,48,Merck, Unknown, 1891,"Kenilworth, NJ",Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MRK) ,Health
49,49,Chase,, 1799,"New York, NY",Banks & Credit Unions,,J.P. Morgan, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Finance
50,50,Ralph Lauren,, 1967,"New York, NY",Other Retail Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (RL) ,Fashion/Retail
51,51,TD,, 1855,"Mount Laurel, NJ",Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public ( TD) ,Finance
52,52,"Toys ""R"" Us"," Walmart, Target, Amazon", 1948,"Wayne, NJ",Toy & Hobby Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
53,53,McDonald's,, 1955,"Chicago, IL",Fast-Food & Quick-Service Restaurants,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MCD) ,Goods & Svcs
54,54,MetLife,, 1868,"New York, NY",Insurance Agencies & Brokerages,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MET) ,Goods & Svcs
55,55,Staples, Unknown, 1986,"Framingham, MA",Office Supply Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
56,56,Shoprite Supermarkets, Unknown, Unknown,"Bristol, CT",Vehicle Dealers,,, $10 to $25 million (USD) per year,201 to 500 employees, Other Organization,Goods & Svcs
57,57,PepsiCo," Unilever, Mondelēz International, Amazon", 1965,"Purchase, NY",Food & Beverage Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (PEP) ,Goods & Svcs
58,58,L'Oréal," Google, Amazon, Facebook", 1909,Clichy (France),Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (LRLCY) ,Goods & Svcs
59,59,Amazon,, 1994,"Seattle, WA",Internet,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AMZN) ,Technology
60,60,HSBC Holdings," J.P. Morgan, Wells Fargo", 1865,"London, England (UK)",Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (HSBC) ,Finance
61,61,Google," Microsoft, Apple, Facebook", 1998,"Mountain View, CA",Internet,,, $10+ billion (USD) per year,10000+ employees, Company - Public (GOOG) ,Technology
62,62,Cablevision Systems, Unknown, 1973,"Bethpage, NY","Cable, Internet & Telephone Providers",,Altice, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (CVC) ,Technology
63,63,Walmart,, 1962,"Bentonville, AR","Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (WMT) ,Fashion/Retail
64,64,Time Inc., Unknown, 1922,"Des Moines, IA",News Outlet,,Meredith Corporation, Unknown / Non-Applicable,5001 to 10000 employees, Company - Public,Entertainment
65,65,Estée Lauder Companies, Unknown, 1946,"New York, NY",Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (EL) ,Goods & Svcs
66,66,United Nations, Unknown, 1945,"New York, NY",Federal Agencies,,, Unknown / Non-Applicable per year,10000+ employees, Government,Govnt/Utilities
67,67,Wells Fargo,, 1852,"San Francisco, CA",Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (WFC) ,Finance
68,68,Whole Foods Market,, 1980,"Austin, TX",Grocery Stores & Supermarkets,,Amazon, $10+ billion (USD) per year,10000+ employees, Company - Public (WFM) ,Goods & Svcs
69,69,Walgreens," CVS Health, Target, Walmart", 1901,"Deerfield, IL",Drug & Health Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (WBA) ,Health
70,70,Victoria's Secret," Macy's, Zara, H&M", 1977,"Reynoldsburg, OH","Department, Clothing, & Shoe Stores",,L Brands, $5 to $10 billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,Fashion/Retail
71,71,Gap,, 1969,"San Francisco, CA","Department, Clothing, & Shoe Stores",,Gap Inc., $10+ billion (USD) per year,10000+ employees, Company - Public,Fashion/Retail
72,72,Bed Bath & Beyond, Unknown, 1971,"Union, NJ",Home Furniture & Housewares Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BBBY) ,Goods & Svcs
73,73,CA Technologies, Unknown, Unknown,"San Jose, CA",Computer Hardware & Software,,Broadcom, Unknown / Non-Applicable,10000+ employees, Unknown,Technology
74,74,Merrill Lynch,, 1820,"New York, NY",Brokerage Services,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Goods & Svcs
75,75,Sears," Macy's, The Home Depot, Best Buy", 1886,"Hoffman Estates, IL",Unknown,,, $10+ billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
76,76,Novartis,, 1996,Basel (Switzerland),Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (NVS) ,Health
77,77,Condé Nast," Hearst, Time Inc., Complex", 1909,"London, England (UK)",Publishing,,, Unknown / Non-Applicable,501 to 1000 employees, Company - Public,Goods & Svcs
78,78,BlackRock,, 1988,"New York, NY",Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BLK) ,Finance
79,79,Metropolitan Transportation Authority, Unknown, Unknown,"New York, NY",Transportation Management,,, Unknown / Non-Applicable per year,5001 to 10000 employees, Government,Goods & Svcs
80,80,Abercrombie & Fitch," American Eagle Outfitters, Ralph Lauren, J. Crew", 1892,"New Albany, OH",Unknown,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (ANF) ,Goods & Svcs
81,81,T-Mobile,, 2001,"Bellevue, WA",Telecommunications Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TMUS) ,Technology
82,82,Uniqlo," Zara, Topshop, H&M", Unknown,"Yamaguchi, Yamaguchi (Japan)","Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Private,Fashion/Retail
83,83,Con Edison," National Grid USA, New York State Electric & Gas", 1997,"New York, NY",Utilities,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ED) ,Govnt/Utilities
84,84,McKinsey & Company,, 1926,"New York, NY",Consulting,,, Unknown / Non-Applicable,10000+ employees, Company - Private,Goods & Svcs
85,85,Century 21 Stores,, 1961,"New York, NY","Department, Clothing, & Shoe Stores",,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Private,Fashion/Retail
86,86,Ogilvy,, 1948,"New York, NY",Advertising & Marketing,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,Finance
87,87,Infosys,, 1981,Bengaluru (India),IT Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (INFY) ,Technology
88,88,Stony Brook University, Unknown, 1957,"Stony Brook, NY",Colleges & Universities,,, $500 million to $1 billion (USD) per year,10000+ employees, College / University,Education
89,89,Lowe's," The Home Depot, Amazon, Walmart", 1946,"Mooresville, NC",Home Centers & Hardware Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (LOW) ,Goods & Svcs
90,90,Barnes & Noble, Unknown, Unknown,"New York, NY",Other Retail Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (BKS) ,Fashion/Retail
91,91,Forever 21," H&M, Inditex, Urban Outfitters", 1984,"Los Angeles, CA",Unknown,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
92,92,Capital One,, 1994,"Mc Lean, VA",Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (COF) ,Finance
93,93,US Postal Service, Unknown, 1971,"Washington, DC",Logistics & Supply Chain,,, $10+ billion (USD) per year,10000+ employees, Government,Finance
94,94,Tata Consultancy Services," Accenture, IBM, Infosys", 1968,Mumbai (India),Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TCSN) ,Technology
95,95,Yelp,, 2004,"San Francisco, CA",Internet,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Public (YELP) ,Technology
96,96,BNP Paribas, Unknown, 2000,Paris (France),Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BNP) ,Finance
97,97,Success Academy Charter Schools,, 2006,"New York, NY",K-12 Education,,, $100 to $500 million (USD) per year,1001 to 5000 employees, School / School District,Education
98,98,JetBlue," Delta Air Lines, Southwest Airlines, United Airlines", 1999,"Long Island City, NY",Transportation Management,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (JBLU) ,Goods & Svcs
99,99,Nielsen, Unknown, 1923,"New York, NY",Enterprise Software & Network Solutions,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (NLSN) ,Technology
100,100,Rite Aid, Unknown, 1968,"Camp Hill, PA",Drug & Health Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (RAD) ,Health
101,101,Saks Fifth Avenue," Nordstrom, Winners, Holt Renfrew", Unknown,"New York, NY","Department, Clothing, & Shoe Stores",,, $1 to $5 million (USD) per year,10000+ employees, Company - Public,Fashion/Retail
102,102,CUNY (City University of New York), Unknown, 1847,"New York, NY",Colleges & Universities,,, $2 to $5 billion (USD) per year,10000+ employees, College / University,Education
103,103,J. Crew, Unknown, 1983,"New York, NY","Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,Fashion/Retail
104,104,Unilever,, 1872,"Englewood Cliffs, NJ",Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ULVR:LN) ,Goods & Svcs
105,105,Avon," Johnson & Johnson, Unilever, Procter & Gamble", 1886,"London, England (UK)",Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AVP) ,Goods & Svcs
106,106,Mastercard,, 1966,"Purchase, NY",Financial Transaction Processing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (MA) ,Finance
107,107,Tiffany & Co., Unknown, 1837,"New York, NY",Other Retail Stores,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (TIF) ,Fashion/Retail
108,108,Town Sports International Holdings," LA Fitness, 24 Hour Fitness, Equinox Fitness", 1973,"New York, NY","Health, Beauty, & Fitness",,, $100 to $500 million (USD) per year,5001 to 10000 employees, Company - Public (CLUB) ,Health
109,109,Robert Half,, 1948,"Menlo Park, CA",Staffing & Outsourcing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (RHI) ,Goods & Svcs
110,110,YMCA, Unknown, 1982,"Chicago, IL",Social Assistance,,, $100 to $500 million (USD) per year,10000+ employees, Nonprofit Organization,Govnt/Utilities
111,111,Enterprise,, 1957,"Saint Louis, MO",Car Rental,,, $10+ billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
112,112,EmblemHealth,, 1937,"New York, NY",Insurance Carriers,,, $5 to $10 billion (USD) per year,1001 to 5000 employees, Nonprofit Organization,Finance
113,113,Stop & Shop," Hannaford Bros., Big Y Foods, Shaw's", 1989,"Quincy, MA",Grocery Stores & Supermarkets,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Goods & Svcs
114,114,Broadridge,, 2007,"Lake Success, NY",Financial Transaction Processing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (BR) ,Finance
115,115,Moody's, Unknown, 1900,"New York, NY",Financial Analytics & Research,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (MCO) ,Finance
116,116,Equinox Fitness," Life Time, Virgin Active, ClubCorp", 1991,"New York, NY",Sports & Recreation,,, $1 to $2 billion (USD) per year,10000+ employees, Company - Private,Entertainment
